#Digilent WaveForms Logic Analyzer Bus Events
#Device Name: Discovery2
#Serial Number: SN:210321A7F8BC
#Date Time: 2019-08-15 15:51:39.054

Time (s),Event
-0.08260268,b1111
-0.0825869,b0010
-0.08258518,b1111
-0.08256942,b0010
-0.0825677,b1111
-0.08255192,b0010
-0.0825502,b1111
-0.08253442,b0010
-0.0825327,b1111
-0.08251692,b0010
-0.0825152,b1111
-0.08249942,b0010
-0.0824977,b1111
-0.08248192,b0010
-0.0824802,b1111
-0.08246442,b0010
-0.0824627,b1111
-0.08244694,b0010
-0.08244522,b1111
-0.08242944,b0010
-0.08242772,b1111
-0.08241194,b0010
-0.08241022,b1111
-0.08239444,b0010
-0.08239272,b1111
-0.08237694,b0010
-0.08237522,b1111
-0.08235944,b0010
-0.08235772,b1111
-0.08234194,b0010
-0.08234022,b1111
-0.08232446,b0010
-0.08232272,b1111
-0.08230696,b0010
-0.08230524,b1111
-0.08228446,b0111
-0.08228274,b1111
-0.00845366,b0111
-0.00845194,b1111
-0.00844866,b0010
-0.00844694,b1111
-0.00328198,b0000
-0.00328026,b1111
-0.00327698,b0001
-0.00327526,b1111
-0.00327198,b0010
-0.00327026,b1111
-0.00326198,b0111
-0.00326026,b1111
-0.00324198,b0111
-0.00324026,b1110
-0.00323698,b0010
-0.00323526,b1111
-0.0032195,b0010
-0.00321776,b1111
-0.003202,b0010
-0.00320028,b1111
-0.0031845,b0010
-0.00318278,b1111
-0.003167,b0010
-0.00316528,b1111
-0.0031495,b0010
-0.00314778,b1111
-0.003132,b0010
-0.00313028,b1111
-0.0031145,b0010
-0.00311278,b1111
-0.003097,b0010
-0.00309528,b1111
-0.00307952,b0010
-0.0030778,b1111
-0.00306202,b0010
-0.0030603,b1111
-0.00304452,b0010
-0.0030428,b1111
-0.00302702,b0010
-0.0030253,b1111
-0.00300952,b0010
-0.0030078,b1111
-0.00299202,b0010
-0.0029903,b1111
-0.00297452,b0010
-0.0029728,b1111
-0.00295704,b0010
-0.00295532,b1111
-0.00293954,b0010
-0.00293782,b1111
-0.00292204,b0010
-0.00292032,b1111
-0.00290454,b0010
-0.00290282,b1111
-0.00288704,b0010
-0.00288532,b1111
-0.00286954,b0010
-0.00286782,b1111
-0.00285204,b0010
-0.00285032,b1111
-0.00283456,b0010
-0.00283284,b1111
-0.00281706,b0010
-0.00281534,b1111
-0.00279956,b0010
-0.00279784,b1111
-0.00278206,b0010
-0.00278034,b1111
-0.00276456,b0010
-0.00276284,b1111
-0.00274706,b0010
-0.00274534,b1111
-0.00272956,b0010
-0.00272784,b1111
-0.00271208,b0010
-0.00271034,b1111
-0.00269458,b0010
-0.00269286,b1111
-0.00267708,b0010
-0.00267536,b1111
-0.00265958,b0010
-0.00265786,b1111
-0.00264208,b0010
-0.00264036,b1111
-0.00262458,b0010
-0.00262286,b1111
-0.00260708,b0010
-0.00260536,b1111
-0.00258958,b0010
-0.00258786,b1111
-0.0025721,b0010
-0.00257038,b1111
-0.0025546,b0010
-0.00255288,b1111
-0.0025371,b0010
-0.00253538,b1111
-0.0025196,b0010
-0.00251788,b1111
-0.0025021,b0010
-0.00250038,b1111
-0.0024846,b0010
-0.00248288,b1111
-0.0024671,b0010
-0.00246538,b1111
-0.00244962,b0010
-0.0024479,b1111
-0.00243212,b0010
-0.0024304,b1111
-0.00241462,b0010
-0.0024129,b1111
-0.00239712,b0010
-0.0023954,b1111
-0.00237962,b0010
-0.0023779,b1111
-0.00236212,b0010
-0.0023604,b1111
-0.00234462,b0010
-0.0023429,b1111
-0.00232714,b0010
-0.00232542,b1111
-0.00230964,b0010
-0.00230792,b1111
-0.00229214,b0010
-0.00229042,b1111
-0.00227464,b0010
-0.00227292,b1111
-0.00225714,b0010
-0.00225542,b1111
-0.00223964,b0010
-0.00223792,b1111
-0.00222214,b0010
-0.00222042,b1111
-0.00220464,b0010
-0.00220292,b1111
-0.00218716,b0010
-0.00218544,b1111
-0.00216966,b0010
-0.00216794,b1111
-0.00215216,b0010
-0.00215044,b1111
-0.00213466,b0010
-0.00213294,b1111
-0.00211716,b0010
-0.00211544,b1111
-0.00209966,b0010
-0.00209794,b1111
-0.00208216,b0010
-0.00208044,b1111
-0.00206468,b0010
-0.00206296,b1111
-0.00204718,b0010
-0.00204546,b1111
-0.00202968,b0010
-0.00202796,b1111
-0.00201218,b0010
-0.00201046,b1111
-0.00199468,b0010
-0.00199296,b1111
-0.00197718,b0010
-0.00197546,b1111
-0.00195968,b0010
-0.00195796,b1111
-0.0019422,b0010
-0.00194048,b1111
-0.0019247,b0010
-0.00192298,b1111
-0.0019072,b0010
-0.00190548,b1111
-0.0018897,b0010
-0.00188798,b1111
-0.0018722,b0010
-0.00187048,b1111
-0.0018547,b0010
-0.00185298,b1111
-0.0018372,b0010
-0.00183548,b1111
-0.00181972,b0010
-0.001818,b1111
-0.00180222,b0010
-0.0018005,b1111
-0.00178472,b0010
-0.001783,b1111
-0.00176722,b0010
-0.0017655,b1111
-0.00174972,b0010
-0.001748,b1111
-0.00173222,b0010
-0.0017305,b1111
-0.00171472,b0010
-0.001713,b1111
-0.00169724,b0010
-0.0016955,b1111
-0.00167974,b0010
-0.00167802,b1111
-0.00166224,b0010
-0.00166052,b1111
-0.00164474,b0010
-0.00164302,b1111
-0.00162724,b0010
-0.00162552,b1111
-0.00160974,b0010
-0.00160802,b1111
-0.00159224,b0010
-0.00159052,b1111
-0.00157474,b0010
-0.00157302,b1111
-0.00155726,b0010
-0.00155554,b1111
-0.00153976,b0010
-0.00153804,b1111
-0.00152226,b0010
-0.00152054,b1111
-0.00150476,b0010
-0.00150304,b1111
-0.00148726,b0010
-0.00148554,b1111
-0.00146976,b0010
-0.00146804,b1111
-0.00145226,b0010
-0.00145054,b1111
-0.00143478,b0010
-0.00143306,b1111
-0.00141728,b0010
-0.00141556,b1111
-0.00139978,b0010
-0.00139806,b1111
-0.00138228,b0010
-0.00138056,b1111
-0.00136478,b0010
-0.00136306,b1111
-0.00134728,b0010
-0.00134556,b1111
-0.00132978,b0010
-0.00132806,b1111
-0.0013123,b0010
-0.00131058,b1111
-0.0012948,b0010
-0.00129308,b1111
-0.0012773,b0010
-0.00127558,b1111
-0.0012598,b0010
-0.00125808,b1111
-0.0012423,b0010
-0.00124058,b1111
-0.0012248,b0010
-0.00122308,b1111
-0.0012073,b0010
-0.00120558,b1111
-0.00118982,b0010
-0.0011881,b1111
-0.00117232,b0010
-0.0011706,b1111
-0.00115482,b0010
-0.0011531,b1111
-0.00113732,b0010
-0.0011356,b1111
-0.00111982,b0010
-0.0011181,b1111
-0.00110232,b0010
-0.0011006,b1111
-0.00108482,b0010
-0.0010831,b1111
-0.00106734,b0010
-0.0010656,b1111
-0.00104984,b0010
-0.00104812,b1111
-0.00103234,b0010
-0.00103062,b1111
-0.00101484,b0010
-0.00101312,b1111
-0.00099734,b0010
-0.00099562,b1111
-0.00097984,b0010
-0.00097812,b1111
-0.00096234,b0010
-0.00096062,b1111
-0.00094484,b0010
-0.00094312,b1111
-0.00092736,b0010
-0.00092564,b1111
-0.00090986,b0010
-0.00090814,b1111
-0.00089236,b0010
-0.00089064,b1111
-0.00087486,b0010
-0.00087314,b1111
-0.00085736,b0010
-0.00085564,b1111
-0.00083986,b0010
-0.00083814,b1111
-0.00082236,b0010
-0.00082064,b1111
-0.00080488,b0010
-0.00080316,b1111
-0.00078738,b0010
-0.00078566,b1111
-0.00076988,b0010
-0.00076816,b1111
-0.00075238,b0010
-0.00075066,b1111
-0.00073488,b0010
-0.00073316,b1111
-0.00071738,b0010
-0.00071566,b1111
-0.00069988,b0010
-0.00069816,b1111
-0.0006824,b0010
-0.00068068,b1111
-0.0006649,b0010
-0.00066318,b1111
-0.0006474,b0010
-0.00064568,b1111
-0.0006299,b0010
-0.00062818,b1111
-0.0006124,b0010
-0.00061068,b1111
-0.0005949,b0010
-0.00059318,b1111
-0.0005774,b0010
-0.00057568,b1111
-0.00055992,b0010
-0.0005582,b1111
-0.00054242,b0010
-0.0005407,b1111
-0.00052492,b0010
-0.0005232,b1111
-0.00050742,b0010
-0.0005057,b1111
-0.00048992,b0010
-0.0004882,b1111
-0.00047242,b0010
-0.0004707,b1111
-0.00045492,b0010
-0.0004532,b1111
-0.00043744,b0010
-0.0004357,b1111
-0.00041994,b0010
-0.00041822,b1111
-0.00040244,b0010
-0.00040072,b1111
-0.00038494,b0010
-0.00038322,b1111
-0.00036744,b0010
-0.00036572,b1111
-0.00034994,b0010
-0.00034822,b1111
-0.00033244,b0010
-0.00033072,b1111
-0.00031494,b0010
-0.00031322,b1111
-0.00029746,b0010
-0.00029574,b1111
-0.00027996,b0010
-0.00027824,b1111
-0.00026246,b0010
-0.00026074,b1111
-0.00024496,b0010
-0.00024324,b1111
-0.00022746,b0010
-0.00022574,b1111
-0.00020996,b0010
-0.00020824,b1111
-0.00019246,b0010
-0.00019074,b1111
-0.00017498,b0010
-0.00017326,b1111
-0.00015748,b0010
-0.00015576,b1111
-0.00013998,b0010
-0.00013826,b1111
-0.00012248,b0010
-0.00012076,b1111
-0.00010498,b0010
-0.00010326,b1111
-8.748e-05,b0010
-8.576e-05,b1111
-6.998e-05,b0010
-6.826e-05,b1111
-5.25e-05,b0010
-5.078e-05,b1111
-3.5e-05,b0010
-3.328e-05,b1111
-1.75e-05,b0010
-1.578e-05,b1111
0,b0010
1.72e-06,b1111
1.75e-05,b0010
1.922e-05,b1111
3.5e-05,b0010
3.672e-05,b1111
5.25e-05,b0010
5.422e-05,b1111
6.998e-05,b0010
7.172e-05,b1111
8.748e-05,b0010
8.92e-05,b1111
0.00010498,b0010
0.0001067,b1111
0.00012248,b0010
0.0001242,b1111
0.00013998,b0010
0.0001417,b1111
0.00015748,b0010
0.0001592,b1111
0.00017498,b0010
0.0001767,b1111
0.00019246,b0010
0.0001942,b1111
0.00020996,b0010
0.00021168,b1111
0.00022746,b0010
0.00022918,b1111
0.00024496,b0010
0.00024668,b1111
0.00026246,b0010
0.00026418,b1111
0.00027996,b0010
0.00028168,b1111
0.00029746,b0010
0.00029918,b1111
0.00031494,b0010
0.00031668,b1111
0.00033244,b0010
0.00033416,b1111
0.00034994,b0010
0.00035166,b1111
0.00036744,b0010
0.00036916,b1111
0.00038494,b0010
0.00038666,b1111
0.00040244,b0010
0.00040416,b1111
0.00041994,b0010
0.00042166,b1111
0.00043744,b0010
0.00043916,b1111
0.00045492,b0010
0.00045664,b1111
0.00047242,b0010
0.00047414,b1111
0.00048992,b0010
0.00049164,b1111
0.00050742,b0010
0.00050914,b1111
0.00052492,b0010
0.00052664,b1111
0.00054242,b0010
0.00054414,b1111
0.00055992,b0010
0.00056164,b1111
0.0005774,b0010
0.00057912,b1111
0.0005949,b0010
0.00059662,b1111
0.0006124,b0010
0.00061412,b1111
0.0006299,b0010
0.00063162,b1111
0.0006474,b0010
0.00064912,b1111
0.0006649,b0010
0.00066662,b1111
0.0006824,b0010
0.00068412,b1111
0.00069988,b0010
0.00070162,b1111
0.00071738,b0010
0.0007191,b1111
0.00073488,b0010
0.0007366,b1111
0.00075238,b0010
0.0007541,b1111
0.00076988,b0010
0.0007716,b1111
0.00078738,b0010
0.0007891,b1111
0.00080488,b0010
0.0008066,b1111
0.00082236,b0010
0.0008241,b1111
0.00083986,b0010
0.00084158,b1111
0.00085736,b0010
0.00085908,b1111
0.00087486,b0010
0.00087658,b1111
0.00089236,b0010
0.00089408,b1111
0.00090986,b0010
0.00091158,b1111
0.00092736,b0010
0.00092908,b1111
0.00094484,b0010
0.00094658,b1111
0.00096234,b0010
0.00096406,b1111
0.00097984,b0010
0.00098156,b1111
0.00099734,b0010
0.00099906,b1111
0.00101484,b0010
0.00101656,b1111
0.00103234,b0010
0.00103406,b1111
0.00104984,b0010
0.00105156,b1111
0.00106734,b0010
0.00106906,b1111
0.00108482,b0010
0.00108654,b1111
0.00110232,b0010
0.00110404,b1111
0.00111982,b0010
0.00112154,b1111
0.00113732,b0010
0.00113904,b1111
0.00115482,b0010
